ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
Q15,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q16,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
Q17,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q18,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q19,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,0,NA,NA,NA
Q20,Rt,3,Coinfection,Rv-Bd,rv,bd,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
R1,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R2,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,42.01206207,0.014416404,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R3,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,34.74637985,0.714001417,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R4,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R5,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R6,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R7,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R8,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,40.3980217,0.033745397,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R9,Rt,3,Coinfection,Bd-Rv,bd,rv,20/06/2018,MORT,Positive,36.48470306,0.27849552,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R10,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R11,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Positive ,43.29424286,42.79920197,Positive ,32.77457428,525.0339966,NA,,NA,NA
R12,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,36.41691589,0.296958327,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R13,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R14,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,44.78847504,0.001795,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R15,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R16,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R17,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R18,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,0.183544472,0.507832766,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R19,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Positive,0.125598952,0.093496442,Negative ,0,0,NA,NA,NA,NA,,NA,NA
R20,Rt,3,Coinfection,Bd-Rv,bd,rv,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S1,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S2,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S3,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S4,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S5,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S6,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S7,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S8,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S9,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S10,Rt,3,Single,Rv ,bdsham,rv,30/06/2018,MORT,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S11,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S12,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S13,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S14,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S15,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S16,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S17,Rt,3,Single,Rv ,bdsham,rv,02/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S18,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S19,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
S20,Rt,3,Single,Rv ,bdsham,rv,10/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,NA,NA
T1,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
